book_id,customer_ratings,helpful_votes,total_votes,price
48541186,5,16,20,2.638006954
52253037,5,1,1,2.662567421
52534781,4,16,19,2.531478917
25947084,5,2,2,2.572493593
37527885,5,1,1,2.662567421
39487575,4,24,27,2.653212514
34103525,4,17,17,2.762975671
13499553,4,6,6,2.558109645
40824697,4,13,13,2.717041111
37357106,4,0,0,2.68888917
37245519,5,101,103,3.344785123
52943281,5,8,9,2.453652861
51197187,1,4,5,2.779901129
49718706,5,13,14,2.569201992
49194026,5,19,19,2.747780686
52985619,5,6,8,2.594396235
39916553,5,29,30,2.817741873
52206842,2,4,5,2.477121255
50245855,2,35,38,2.324282455
16416628,5,6,6,2.649940707
39868472,3,18,18,2.697213582
19100981,5,226,233,2.004321374
52982196,5,8,10,2.632174342
49718706,5,17,20,2.723497101
52118148,5,51,61,2.978180517
51054788,2,7,65,2.980003372
50030450,5,4,5,2.508906307
34946095,5,0,0,2.671677871
49718706,5,14,15,2.608348249
33511327,5,0,0,2.671677871
52496855,4,2,3,2.620697396
16331821,4,10,12,2.894980766
16416628,5,11,15,2.573930874
47099824,5,0,0,2.671677871
30149999,5,1,27,2.889861721
34185845,1,1,1,2.392679156
16362361,5,24,26,2.68308816
37314706,4,16,20,2.809926683
49117125,4,6,6,2.558109645
53068994,4,17,31,2.071882007
14950476,3,13,25,2.257678575
49822451,5,2,2,2.572493593
42460739,3,1,1,2.579576635
52713828,3,1,1,2.579576635
53015353,5,8,11,2.612780515
14438730,5,12,13,2.535468524
40347755,3,0,1,2.752670513
46072197,5,4,5,2.508906307
33512290,4,3,5,2.622910931
44242146,5,0,2,2.783663576
46983871,5,20,22,2.514287897
12387076,5,4,5,2.508906307
24159509,4,0,3,2.847034239
52676813,4,2,3,2.620697396
43898203,5,3,4,2.551895471
52496855,5,2,2,2.572493593
51877030,1,2,5,2.624282096
51344200,5,4,4,2.595183079
42226551,5,2,2,2.572493593
52691483,3,8,17,2.795880017
50937392,5,7,8,2.583781481
50626719,3,12,14,2.31701684
50350474,5,3,7,2.823551048
36450495,5,12,14,2.494842877
53026514,4,8,10,2.847461344
50193679,5,5,9,2.372912003
41032590,5,21,32,2.581565773
40799871,5,5,5,2.59997417
14230009,4,14,14,2.511883361
50430704,5,15,17,2.931966115
38924208,5,5,8,2.634207078
34873879,5,3,3,2.560099599
13222682,4,13,15,2.654367555
52674826,5,3,9,2.887541502
51638342,5,2,3,2.563658776
51880637,5,16,20,2.638006954
38519848,5,0,0,2.671677871
49816804,5,12,12,2.640762237
16697070,5,0,2,2.783663576
45503962,1,2,5,2.624282096
12718936,5,2,17,2.396199347
52498515,5,0,0,2.671677871
50794348,2,2,20,2.565847819
31640958,4,9,9,2.542318009
51177136,4,1,11,2.397592295
53021862,5,2,2,2.572493593
37432827,5,19,20,2.491361694
14924702,5,3,5,2.634468861
52790774,5,2,4,2.723786808
53032696,5,22,22,2.409938468
49245395,5,4,6,2.62273894
36727807,5,5,20,2.474216264
51269541,5,0,0,2.671677871
52831609,5,0,0,2.671677871
48243164,5,23,26,2.890426813
13645370,4,4,5,2.700610815
21971218,3,10,12,2.167317335
52423461,5,5,5,2.59997417
29040605,1,2,11,2.793399204
49816804,5,4,5,2.508906307
52268900,5,1,1,2.662567421
45652181,5,4,4,2.595183079
14242930,5,6,6,2.649940707
50551569,3,1,2,2.619531284
29888645,5,0,0,2.671677871
30427115,5,2,15,2.537846459
33096492,5,2,2,2.572493593
29267218,2,2,5,2.49487549
14765309,1,91,183,3.504470862
40195625,5,0,0,2.671677871
49914986,5,2,2,2.572493593
51267036,5,3,4,2.551895471
39532527,3,293,328,2.419955748
51408606,5,17,19,2.593175671
34562454,5,4,4,2.595183079
44158600,5,10,13,2.834804843
12275130,4,1,1,2.589241108
49263512,5,23,24,2.53589163
39318516,3,3,5,2.52163448
52559361,5,4,4,2.595183079
43837570,3,12,25,2.257678575
15596972,4,1,4,2.52676267
52627646,5,5,9,2.372912003
14477731,4,21,21,2.518822983
43299065,5,3,3,2.560099599
50887573,5,2,3,2.563658776
52588841,5,11,13,2.713168011
34103408,5,1,1,2.662567421
29547017,5,3,3,2.560099599
43106182,4,0,1,2.510242662
51325595,5,15,16,2.609218578
51054788,5,9,10,2.679930738
50389115,5,5,5,2.59997417
21535627,4,6,7,2.741348166
30663178,5,7,9,2.549481546
51814288,5,9,13,2.32986234
51387894,4,5,7,2.625090483
12402421,3,12,13,2.834737601
52003305,4,2,2,2.531223906
21924524,4,80,81,2.471291711
52982184,5,6,7,2.54317199
51189174,5,2,2,2.572493593
39148105,5,8,13,2.405975303
51325595,5,13,19,3.013823392
27532010,3,0,17,2.477121255
51914013,5,10,11,2.728432893
14753137,5,2,2,2.572493593
42146022,4,2,4,2.476327883
53021862,1,4,5,2.779901129
21377597,4,6,8,2.619574633
49220589,5,11,12,2.507005774
46686035,5,4,6,2.62273894
39640879,5,11,14,2.447362895
35653683,5,44,45,2.178976947
50887573,5,26,29,3.081070765
53026514,5,4,18,2.298853076
52813369,5,2,3,2.563658776
14477731,5,11,11,2.587868598
53030023,5,17,21,2.545142348
50300020,3,31,37,2.592176757
32495679,5,12,12,2.640762237
16198844,4,2,6,2.779703719
38794774,5,11,12,2.507005774
53078052,4,7,11,2.450478357
52886468,5,54,55,2.740362689
15418990,3,4,6,2.519248873
40176165,5,4,4,2.595183079
51307746,5,2,3,2.563658776
51054909,5,14,15,2.608348249
14006439,5,0,0,2.671677871
12285339,5,12,14,2.494842877
12264910,4,1,1,2.589241108
36431179,5,2,3,2.563658776
27401384,5,4,7,2.585427305
53088547,2,14,15,2.255272505
30077731,1,10,13,3.059153035
13748344,5,1,1,2.662567421
50438878,3,7,16,2.769377326
48167713,5,1,3,2.558950495
16189322,5,5,7,2.502151243
51974347,5,104,106,2.1430148
33807608,5,1,1,2.662567421
12993699,4,0,1,2.510242662
49825099,5,5,6,2.491603376
20269623,5,21,21,2.544068044
31278561,5,12,13,2.535468524
30663178,5,7,9,2.549481546
36699569,5,2,7,2.400892161
34103408,5,4,4,2.595183079
15092507,4,23,34,3.34849957
44404818,5,12,16,2.707523349
26448803,3,46,52,2.669316881
51308860,5,35,37,2.11058971
53081724,5,29,30,2.817741873
24952531,5,10,14,2.862086336
52302307,5,8,9,2.453652861
52954483,5,1,1,2.662567421
52982184,5,7,10,2.308500171
50794348,5,1,1,2.662567421
51263459,4,10,10,2.751185751
49765440,5,35,40,2.484299839
35949446,5,2,2,2.572493593
14477731,5,5,5,2.59997417
49658727,5,3,3,2.560099599
47756826,5,1,2,2.548480427
26554303,5,8,9,2.453652861
49914986,5,1,1,2.662567421
44586173,5,29,31,2.615451708
49480545,5,4,4,2.595183079
46789606,5,17,18,2.686412249
20064450,5,7,9,2.549481546
46686035,5,3,7,2.823551048
30449122,5,1,2,2.548480427
52877721,5,13,17,2.516441795
49301414,4,1,2,2.558909412
15259538,5,3,3,2.560099599
12261097,4,3,25,2.396199347
52675098,5,13,16,2.688091335
31304380,4,2,2,2.531223906
38882660,5,1,10,2.60097561
31844968,5,1,1,2.662567421
33042968,5,18,19,2.583229234
17599887,4,56,56,3.161667412
49961961,5,3,4,2.551895471
53084713,5,7,8,2.583781481
51694765,5,3,3,2.560099599
35820831,3,1,3,2.721440182
52120366,4,3,13,2.769603309
12275130,5,4,5,2.508906307
40656498,5,1,6,2.392450698
52693160,3,24,29,2.608526034
13336349,1,19,26,2.505149978
52791392,2,14,23,3.258397804
52121266,5,8,9,2.453652861
14765309,5,50,50,2.673020907
30093533,4,2,2,2.531223906
45300954,5,18,18,2.687916486
49626312,4,2,2,2.531223906
46686035,5,9,19,2.581186602
52614284,5,2,4,2.723786808
26685727,2,5,10,2.597695186
49004031,3,16,22,2.950851459
17313597,4,12,13,2.399819676
51838418,5,2,2,2.572493593
35949446,5,5,5,2.59997417
31260805,3,15,15,2.545307116
31788116,5,3,6,2.697631521
52147705,4,16,17,2.470886331
30663178,5,16,19,2.55176292
48967754,5,16,17,2.466678116
30682249,5,3,3,2.560099599
16180619,5,9,9,2.642449808
49371105,2,6,24,2.519827994
36665845,5,4,9,2.431133634
51987708,5,35,35,2.859360493
27407727,1,3,8,2.582788337
40995342,5,3,4,2.551895471
48560497,5,5,8,2.634207078
48403807,5,21,26,2.761862831
52910533,5,6,7,2.54317199
52441867,4,20,23,2.428741634
49816804,5,0,0,2.671677871
52546776,4,35,41,2.257678575
15024961,4,7,10,2.454863304
52846971,5,6,10,2.447891716
50261939,5,2,9,2.749203526
48136700,4,2,5,2.577337819
52868156,5,4,4,2.595183079
52741508,5,18,18,2.687916486
45401287,4,26,26,2.586587305
53088279,5,39,44,2.784617293
52860965,5,2,3,2.563658776
52812751,4,5,6,2.540765632
38197859,2,9,10,3.031408464
53020325,4,10,10,2.751185751
35655856,5,2,2,2.572493593
51935922,4,1,2,2.558909412
50438878,1,6,30,1.568201724
52865256,4,2,2,2.531223906
38672541,4,11,22,2.85672889
53015499,5,6,6,2.649940707
25452309,5,4,5,2.508906307
52785372,5,3,3,2.560099599
14043102,5,3,7,2.823551048
52904679,5,9,9,2.642449808
34283096,5,4,4,2.595183079
41735901,4,2,3,2.620697396
32517409,5,5,5,2.59997417
13246254,5,4,4,2.595183079
52942403,2,9,13,2.442917985
17987446,4,13,15,2.654367555
49480545,5,5,5,2.59997417
51394793,4,7,8,2.459746227
49480545,5,0,0,2.671677871
38117878,5,11,11,2.587868598
53033443,5,2,2,2.572493593
53014906,4,2,7,2.779703719
49298802,5,2,3,2.563658776
52893255,1,5,11,2.520348253
16170737,5,2,3,2.563658776
52977461,5,31,32,2.748584183
35454520,4,1,1,2.589241108
12269114,5,3,4,2.551895471
49176441,4,3,3,2.462969623
49226901,4,11,23,2.85672889
18820308,5,0,0,2.671677871
37304756,4,10,16,2.602059991
36264700,5,1,1,2.662567421
28914226,5,7,9,2.549481546
51203001,5,1,2,2.548480427
32791719,5,4,4,2.595183079
51303720,4,6,6,2.558109645
51010646,5,3,3,2.560099599
46235901,5,15,16,2.609218578
12272802,5,8,8,2.49979011
14671326,5,1,3,2.558950495
22889890,3,26,26,2.774516966
27546174,5,2,3,2.563658776
52968413,5,3,6,2.697631521
52678596,5,89,89,2.758911892
48362335,5,4,6,2.62273894
32222265,5,3,5,2.634468861
51303720,4,0,0,2.68888917
51294200,5,24,27,2.506148591
53080354,3,23,26,3.344195716
47985709,3,6,28,2.471291711
17351552,3,0,1,2.752670513
44901318,5,7,7,2.561863602
14544320,4,34,43,2.813580989
52078267,3,4,9,2.696257309
46032870,5,0,0,2.671677871
12269114,5,2,2,2.572493593
16707931,5,7,11,2.58590572
30926176,5,0,2,2.783663576
23468666,5,0,0,2.671677871
51718901,1,14,16,2.793790385
41917858,2,5,12,2.683947131
52350014,5,20,25,2.571708832
52494120,5,2,2,2.572493593
53031416,5,2,2,2.572493593
47774663,4,29,30,3.146128036
36552269,4,2,2,2.531223906
26358076,5,7,13,2.601951404
26358076,5,10,10,2.593422249
22860038,4,9,10,2.768993759
52778209,2,0,10,2.187520721
49974018,5,2,6,2.603311662
39076369,1,10,19,2.471291711
50856279,5,8,8,2.49979011
51369156,5,11,17,2.11058971
44312214,5,5,7,2.502151243
30159259,4,6,8,2.619574633
53066846,5,21,23,2.820983546
33663151,3,7,9,2.44987196
51377672,4,1,1,2.589241108
30391284,4,4,5,2.700610815
29139601,5,1,2,2.548480427
51742353,4,1,2,2.558909412
52795569,4,11,13,2.660702377
51368361,5,2,2,2.572493593
52259714,3,8,14,2.477121255
19315939,1,21,35,2.488550717
52882573,5,20,20,2.499456453
30183476,5,5,5,2.59997417
50680304,5,8,16,2.740343163
21326625,5,27,30,2.468109105
30172270,4,1,2,2.558909412
39749854,2,16,18,2.666517981
51151990,5,2,2,2.572493593
52039223,2,133,143,2.477121255
33128164,4,29,46,2.396199347
38722834,4,3,3,2.462969623
38028406,2,10,14,2.591081738
52945835,5,4,4,2.595183079
13344144,5,5,5,2.59997417
52647925,4,2,3,2.620697396
14759722,5,1,1,2.662567421
46732723,5,2,6,2.603311662
23547774,4,0,12,2.31386722
38935073,3,8,26,2.851258349
50330396,4,8,10,2.847461344
27546174,4,9,13,2.662470728
34468159,5,11,13,2.713168011
46105817,5,4,4,2.595183079
46745920,5,5,5,2.59997417
53035979,5,13,16,2.688091335
47263170,4,0,0,2.68888917
41463587,5,14,15,2.608348249
37527111,5,13,16,2.688091335
37356313,5,0,3,2.513418639
46525003,5,7,8,2.583781481
50694220,4,0,2,2.611666993
51081061,5,7,7,2.561863602
51958864,5,7,7,2.561863602
36207602,4,0,0,2.68888917
53057410,5,15,49,2.394451681
17351552,3,2,3,2.395358132
15461484,3,2,3,2.395358132
13125404,4,3,13,2.769603309
46134316,5,1,1,2.662567421
46204468,5,3,4,2.551895471
49575109,5,18,19,2.583229234
51006434,5,9,10,2.679930738
52474925,5,5,6,2.491603376
52521070,5,6,6,2.649940707
53089225,3,8,9,2.764089905
50898728,5,1,1,2.662567421
12271965,5,4,9,2.431133634
36607525,5,2,4,2.723786808
12271801,5,6,8,2.594396235
39968199,5,48,54,2.642873301
47493375,5,4,67,2.72427587
33559580,3,1,2,2.619531284
47504537,5,20,20,2.499456453
52931879,5,12,17,2.532116648
52300433,5,12,12,2.640762237
17571600,5,1,2,2.548480427
25248345,4,1,3,2.466981379
47263170,4,0,0,2.68888917
48634309,5,2,2,2.572493593
47816874,5,1,1,2.662567421
40824697,4,23,25,2.614512064
51753397,5,7,8,2.583781481
12272432,5,0,0,2.671677871
44484978,5,4,4,2.595183079
21193690,4,5,5,2.638242332
25200663,3,1,1,2.579576635
34600321,5,8,9,2.453652861
12275644,3,4,6,2.519248873
52902520,2,10,16,2.447158031
17018686,5,13,13,2.533412638
45716427,5,3,10,2.58235186
52806856,5,3,3,2.560099599
51061548,5,8,10,2.632174342
52608393,5,5,5,2.59997417
51976101,4,23,23,2.456217317
12266688,5,1,1,2.662567421
52368647,4,4,4,2.520843765
23795164,4,7,12,3.021651074
50660358,5,4,5,2.508906307
53013357,5,3,3,2.560099599
26331100,4,8,13,2.302143432
27972419,5,0,1,2.591060372
13755820,4,4,5,2.700610815
38571734,4,14,15,2.532612408
16134022,5,10,11,2.728432893
46525003,3,6,11,2.568201724
39404979,1,5,12,2.520348253
31953390,5,3,5,2.634468861
20586221,5,59,61,2.663700925
53096567,5,3,5,2.634468861
48525441,5,4,4,2.595183079
26848928,5,8,9,2.453652861
52690552,4,0,0,2.68888917
38974067,4,2,4,2.476327883
52781302,5,2,8,2.491845341
16736480,2,31,42,3.149219113
26848928,3,7,20,3.012837225
52945191,4,1,1,2.589241108
52862683,5,5,5,2.59997417
53013357,4,1,2,2.558909412
52713207,2,11,14,2.419955748
50980525,2,26,98,2.505149978
51845794,5,18,21,2.867678069
12266511,4,1,8,3.24723655
33018310,4,2,2,2.531223906
40204093,4,14,15,2.532612408
49575109,4,24,24,2.831869774
13472648,5,1,4,2.518510278
49304127,5,4,4,2.595183079
19416689,1,6,6,2.43689529
42769753,5,25,26,3.071513805
12273881,5,15,17,2.931966115
49256316,4,685,726,2.658964843
52657098,5,47,49,2.471291711
49833624,4,2,3,2.620697396
52280204,4,5,6,2.540765632
29854858,4,4,8,2.416094731
16383086,5,4,5,2.508906307
